ticker,name,trend,index
INDIAMART.NS,IndiaMART InterMESH Limited,down,nifty_smallcap_100
IEX.NS,Indian Energy Exchange Limited,down,nifty_smallcap_100
INOXWIND.NS,Inox Wind Limited,down,nifty_smallcap_100
INTELLECT.NS,Intellect Design Arena Limited,up,nifty_smallcap_100
IRCON.NS,Ircon International Limited,down,nifty_smallcap_100
ITI.NS,ITI Limited,up,nifty_smallcap_100
JBMA.NS,JBM Auto Limited,up,nifty_smallcap_100
KALPATARU.NS,KALPATARU LIMITED,down,nifty_smallcap_100
KARURVYSYA.NS,The Karur Vysya Bank Limited,down,nifty_smallcap_100
KAYNES.NS,Kaynes Technology India Limited,down,nifty_smallcap_100
KEC.NS,KEC International Limited,down,nifty_smallcap_100
KFINTECH.NS,KFin Technologies Limited,down,nifty_smallcap_100
LAURUSLABS.NS,Laurus Labs Limited,up,nifty_smallcap_100
MGL.NS,Mahanagar Gas Limited,down,nifty_smallcap_100
MANAPPURAM.NS,Manappuram Finance Limited,down,nifty_smallcap_100
MCX.NS,Multi Commodity Exchange of India Limited,down,nifty_smallcap_100
NATCOPHARM.NS,NATCO Pharma Limited,down,nifty_smallcap_100
NATIONALUM.NS,National Aluminium Company Limited,down,nifty_smallcap_100
NAVINFLUOR.NS,Navin Fluorine International Limited,down,nifty_smallcap_100
NBCC.NS,NBCC (India) Limited,up,nifty_smallcap_100
NCC.NS,NCC Limited,down,nifty_smallcap_100
NEULANDLAB.NS,Neuland Laboratories Limited,up,nifty_smallcap_100
NH.NS,Narayana Hrudayalaya Limited,up,nifty_smallcap_100
NUVAMA.NS,Nuvama Wealth Management Limited,up,nifty_smallcap_100
OLECTRA.NS,Olectra Greentech Limited,up,nifty_smallcap_100
PCBL.NS,PCBL Chemical Limited,down,nifty_smallcap_100
PGEL.NS,PG Electroplast Limited,down,nifty_smallcap_100
PPLPHARMA.NS,Piramal Pharma Limited,down,nifty_smallcap_100
PNBHOUSING.NS,PNB Housing Finance Limited,down,nifty_smallcap_100
PVRINOX.NS,PVR INOX Limited,down,nifty_smallcap_100
RADICO.NS,Radico Khaitan Limited,up,nifty_smallcap_100
RAILTEL.NS,RailTel Corporation of India Limited,down,nifty_smallcap_100
RAYMOND.NS,Raymond Limited,up,nifty_smallcap_100
REDINGTON.NS,Redington Limited,up,nifty_smallcap_100
RPOWER.NS,Reliance Power Limited,up,nifty_smallcap_100
RITES.NS,RITES Limited,down,nifty_smallcap_100
SAGILITY.NS,Sagility Limited,down,nifty_smallcap_100
SHYAMMETL.NS,Shyam Metalics and Energy Limited,up,nifty_smallcap_100
SONATSOFTW.NS,Sonata Software Limited,down,nifty_smallcap_100
TATACHEM.NS,Tata Chemicals Limited,down,nifty_smallcap_100
TTML.NS,Tata Teleservices (Maharashtra) Limited,up,nifty_smallcap_100
TEJASNET.NS,Tejas Networks Limited,up,nifty_smallcap_100
RAMCOCEM.NS,The Ramco Cements Limited,down,nifty_smallcap_100
TITAGARH.NS,Titagarh Rail Systems Limited,up,nifty_smallcap_100
TRIDENT.NS,Trident Limited,down,nifty_smallcap_100
TRITURBINE.NS,Triveni Turbine Limited,up,nifty_smallcap_100
UCOBANK.NS,UCO Bank,up,nifty_smallcap_100
WELCORP.NS,Welspun Corp Limited,up,nifty_smallcap_100
WELSPUNLIV.NS,Welspun Living Limited,up,nifty_smallcap_100
ZEEL.NS,Zee Entertainment Enterprises Limited,up,nifty_smallcap_100
ZENSARTECH.NS,Zensar Technologies Limited,down,nifty_smallcap_100
